age3,sex,race,year0,ex,se_ex
2,1,1,9,55.91325,.14755319
2,1,1,10,56.090679,.14853323
2,1,1,11,55.617397,.14231019
2,1,1,12,55.925797,.14328684
2,1,1,13,56.360706,.14551806
2,1,1,14,56.253376,.14298452
2,1,1,15,56.094208,.14161338
2,1,1,16,56.07267,.14133479
2,1,1,17,56.448105,.14394335
2,1,1,18,56.232128,.14307304
2,1,1,19,57.040867,.14361179
2,1,2,0,62.339275,.068299264
2,1,2,1,62.673817,.066317074
2,1,2,2,62.728432,.064367995
2,1,2,3,62.975037,.062050242
2,1,2,4,63.036396,.059915803
2,1,2,5,63.472458,.057980161
2,1,2,6,63.605003,.056648474
2,1,2,7,63.765675,.055525191
2,1,2,8,64.136513,.054045208
2,1,2,9,63.879284,.051891081
2,1,2,10,64.309433,.050705582
2,1,2,11,64.360397,.050164502
2,1,2,12,64.754883,.049610067
2,1,2,13,64.684471,.047416177
2,1,2,14,65.028671,.046785112
2,1,2,15,65.517738,.045923334
2,1,2,16,65.226273,.044260658
2,1,2,17,65.339378,.043618809
2,1,2,18,65.348694,.042101614
2,1,2,19,65.558212,.041714337
2,1,3,0,51.55521,.035207469
2,1,3,1,51.623386,.034949545
2,1,3,2,51.747139,.034472451
2,1,3,3,51.868305,.03394112
2,1,3,4,52.053841,.033672351
2,1,3,5,52.514503,.033520479
2,1,3,6,52.628944,.033052377
2,1,3,7,53.132328,.03313598
2,1,3,8,53.455261,.032839533
2,1,3,9,53.741089,.032529619
2,1,3,10,54.202637,.03274259
2,1,3,11,54.365112,.032266416
2,1,3,12,54.558868,.031985175
2,1,3,13,54.86932,.031785861
2,1,3,14,54.906685,.031504624
2,1,3,15,55.057125,.03138129
2,1,3,16,55.065441,.030922815
2,1,3,17,55.002071,.030896842
2,1,3,18,55.092361,.030537724
2,1,3,19,55.131115,.030365558
2,1,4,0,55.711926,.011704188
2,1,4,1,55.721886,.011691632
2,1,4,2,55.764622,.011733272
2,1,4,3,55.790794,.011654992
2,1,4,4,55.899548,.011650013
2,1,4,5,56.259613,.011726027
2,1,4,6,56.205254,.011660204
2,1,4,7,56.495609,.011747614
2,1,4,8,56.704933,.011760768
2,1,4,9,56.616169,.011656547
2,1,4,10,56.967781,.011842694
2,1,4,11,56.978271,.01171758
2,1,4,12,56.929604,.011741641
2,1,4,13,57.05431,.011716086
2,1,4,14,57.018204,.011690727
2,1,4,15,57.065689,.011777936
2,1,4,16,56.865685,.011719109
2,1,4,17,56.941231,.011861128
2,1,4,18,56.817841,.011803648
2,1,4,19,56.98278,.011740096
2,1,5,0,58.88575,.044670124
2,1,5,1,59.127296,.044177439
2,1,5,2,59.059898,.042389549
2,1,5,3,59.358166,.041482616
2,1,5,4,59.400185,.04027934
2,1,5,5,60.011623,.039938241
2,1,5,6,59.928837,.03871125
2,1,5,7,60.230377,.037833683
2,1,5,8,60.687557,.037373498
2,1,5,9,60.598385,.035937052
2,1,5,10,61.201561,.0363454
2,1,5,11,61.144203,.034888908
2,1,5,12,61.526035,.034661476
2,1,5,13,61.506672,.033789545
2,1,5,14,61.637581,.033299852
2,1,5,15,62.026329,.033034686
2,1,5,16,61.998848,.032261468
2,1,5,17,62.096863,.031956539
2,1,5,18,62.138474,.031128243
2,1,5,19,62.190872,.030524889
2,2,1,0,50.260868,.16941728
2,2,1,1,51.145767,.17045593
2,2,1,2,50.887924,.16791435
2,2,1,3,50.447445,.16323248
2,2,1,4,50.219593,.15770766
2,2,1,5,50.638226,.16003126
2,2,1,6,50.09412,.15557545
2,2,1,7,50.738758,.15734832
2,2,1,8,50.563488,.15297715
2,2,1,9,50.612881,.15464354
2,2,1,10,51.242191,.15644875
2,2,1,11,50.685642,.14977226
2,2,1,12,51.073856,.15037341
2,2,1,13,51.068459,.15302122
2,2,1,14,51.009766,.14886911
2,2,1,15,50.831532,.14978532
2,2,1,16,50.487373,.1499746
2,2,1,17,50.369698,.14814295
2,2,1,18,50.537189,.15009426
2,2,1,19,50.632694,.15175179
2,2,2,0,57.155842,.069939807
2,2,2,1,57.496727,.069282994
2,2,2,2,57.854412,.067856967
2,2,2,3,58.101875,.065393686
2,2,2,4,58.387131,.064235277
2,2,2,5,58.909077,.062751994
2,2,2,6,58.81065,.061139546
2,2,2,7,59.175789,.060002558
2,2,2,8,59.66021,.059719659
2,2,2,9,59.788586,.058482379
2,2,2,10,59.987614,.057216369
2,2,2,11,59.875988,.055328984
2,2,2,12,60.413372,.054976672
2,2,2,13,60.578804,.053580891
2,2,2,14,60.488552,.052009407
2,2,2,15,61.307106,.052149642
2,2,2,16,61.184959,.050207626
2,2,2,17,61.335232,.050315946
2,2,2,18,61.208912,.048528034
2,2,2,19,61.302513,.048157487
2,2,3,0,45.2174,.036504094
2,2,3,1,45.472988,.036455572
2,2,3,2,45.738873,.03613634
2,2,3,3,45.897888,.035901286
2,2,3,4,46.076759,.035679832
2,2,3,5,46.594341,.035599176
2,2,3,6,46.724342,.035392754
2,2,3,7,47.089504,.035478741
2,2,3,8,47.50264,.035256673
2,2,3,9,48.018181,.034947101
2,2,3,10,48.463806,.035120178
2,2,3,11,48.799465,.034605775
2,2,3,12,49.14259,.034599196
2,2,3,13,49.281502,.03440636
2,2,3,14,49.271172,.034059633
2,2,3,15,49.553631,.033895925
2,2,3,16,49.384579,.033665873
2,2,3,17,49.139763,.033494882
2,2,3,18,49.059811,.033198375
2,2,3,19,49.020359,.032810766
2,2,4,0,50.95079,.012488355
2,2,4,1,51.062027,.01251766
2,2,4,2,51.190399,.012611534
2,2,4,3,51.244965,.012556168
2,2,4,4,51.444523,.012602233
2,2,4,5,51.830811,.012689905
2,2,4,6,51.833549,.012676072
2,2,4,7,52.100342,.01279678
2,2,4,8,52.312141,.01280366
2,2,4,9,52.281658,.01271327
2,2,4,10,52.578743,.012777565
2,2,4,11,52.616398,.012685502
2,2,4,12,52.647301,.012722972
2,2,4,13,52.772049,.012701103
2,2,4,14,52.743839,.012668968
2,2,4,15,52.743958,.012722603
2,2,4,16,52.579113,.012746381
2,2,4,17,52.492634,.012950934
2,2,4,18,52.388912,.012937149
2,2,4,19,52.529896,.012879683
2,2,5,0,53.531773,.048125453
2,2,5,1,53.755745,.047416616
2,2,5,2,53.900864,.045843661
2,2,5,3,54.047691,.044708807
2,2,5,4,54.308125,.044002447
2,2,5,5,54.938534,.043808833
2,2,5,6,54.580868,.04173667
2,2,5,7,55.229004,.041645829
2,2,5,8,55.615597,.04122502
2,2,5,9,55.915833,.040578295
2,2,5,10,56.29311,.039986271
2,2,5,11,56.245964,.038425107
2,2,5,12,56.889339,.03867694
2,2,5,13,56.931328,.037679233
2,2,5,14,57.019295,.037065011
2,2,5,15,57.305962,.036542453
2,2,5,16,57.284195,.035909805
2,2,5,17,57.17284,.035363361
2,2,5,18,57.176643,.034490619
2,2,5,19,57.122803,.033818185
3,1,1,0,19.880341,.14593109
3,1,1,1,20.934668,.15121333
3,1,1,2,20.629074,.14614052
3,1,1,3,20.541595,.14308393
3,1,1,4,20.253525,.13631929
3,1,1,5,20.681963,.13801116
3,1,1,6,20.226458,.13199593
3,1,1,7,20.490694,.13165641
3,1,1,8,20.835918,.1308793
3,1,1,9,21.002554,.12789525
3,1,1,10,21.449999,.12874568
3,1,1,11,20.844337,.12148283
3,1,1,12,21.389246,.12123129
3,1,1,13,21.880037,.1231668
3,1,1,14,21.989794,.1187157
3,1,1,15,21.945347,.11644087
3,1,1,16,22.114124,.11490677
3,1,1,17,22.745083,.1161567
3,1,1,18,22.810118,.11322936
3,1,1,19,23.468142,.11414216
3,1,2,0,24.613689,.062115438
3,1,2,1,24.895384,.060189076
3,1,2,2,24.929598,.058599502
3,1,2,3,25.080633,.056589618
3,1,2,4,25.114185,.054605458
3,1,2,5,25.453592,.052934021
3,1,2,6,25.626625,.051659383
3,1,2,7,25.743204,.050803229
3,1,2,8,26.051264,.049473058
3,1,2,9,25.760403,.047378898
3,1,2,10,26.113998,.046380874
3,1,2,11,26.200565,.045845862
3,1,2,12,26.662081,.045198806
3,1,2,13,26.562614,.042895235
3,1,2,14,26.88241,.042312484
3,1,2,15,27.342464,.041531071
3,1,2,16,27.08783,.039722592
3,1,2,17,27.268106,.038850266
3,1,2,18,27.231056,.037365001
3,1,2,19,27.429695,.03699255
3,1,3,0,17.627985,.027678231
3,1,3,1,17.689636,.027459061
3,1,3,2,17.802811,.026998062
3,1,3,3,17.840767,.026578998
3,1,3,4,18.018869,.026454322
3,1,3,5,18.311995,.026603162
3,1,3,6,18.365629,.026287848
3,1,3,7,18.803286,.026614256
3,1,3,8,18.973442,.02658896
3,1,3,9,19.152575,.026426025
3,1,3,10,19.575035,.026887355
3,1,3,11,19.60144,.026502673
3,1,3,12,19.757454,.026199676
3,1,3,13,20.030397,.026007753
3,1,3,14,20.081608,.025676867
3,1,3,15,20.305317,.025448492
3,1,3,16,20.299433,.024813265
3,1,3,17,20.371979,.024595907
3,1,3,18,20.434797,.024126412
3,1,3,19,20.499247,.023753386
3,1,4,0,19.14924,.0086395321
3,1,4,1,19.181847,.0086406656
3,1,4,2,19.272091,.008667809
3,1,4,3,19.275211,.0086479047
3,1,4,4,19.39566,.0086613363
3,1,4,5,19.73221,.0087942444
3,1,4,6,19.691126,.0087121716
3,1,4,7,19.999796,.0088133244
3,1,4,8,20.191574,.008825168
3,1,4,9,20.110222,.0086864829
3,1,4,10,20.534979,.0088119851
3,1,4,11,20.481916,.0086988844
3,1,4,12,20.506193,.0086404262
3,1,4,13,20.641645,.008513432
3,1,4,14,20.641832,.0084023336
3,1,4,15,20.789127,.0083573069
3,1,4,16,20.632586,.0081685763
3,1,4,17,20.820662,.0081408275
3,1,4,18,20.718567,.0079614026
3,1,4,19,20.842108,.0078384746
3,1,5,0,21.795256,.039785329
3,1,5,1,22.041996,.03944847
3,1,5,2,21.972906,.037731465
3,1,5,3,22.196997,.037091825
3,1,5,4,22.225203,.035997685
3,1,5,5,22.747849,.035945009
3,1,5,6,22.643572,.034885004
3,1,5,7,22.939653,.03406962
3,1,5,8,23.324495,.033834979
3,1,5,9,23.187695,.032450728
3,1,5,10,23.850845,.03303704
3,1,5,11,23.69478,.03160429
3,1,5,12,24.029383,.031610068
3,1,5,13,24.056034,.030651648
3,1,5,14,24.203617,.03017161
3,1,5,15,24.622946,.02997572
3,1,5,16,24.580214,.029237401
3,1,5,17,24.772581,.028829744
3,1,5,18,24.782028,.028028512
3,1,5,19,24.842482,.027371624
3,2,1,0,17.068174,.15528832
3,2,1,1,18.058844,.15602832
3,2,1,2,18.020859,.15253733
3,2,1,3,17.751032,.14563987
3,2,1,4,17.645752,.1373404
3,2,1,5,18.041883,.14153941
3,2,1,6,17.906252,.13377284
3,2,1,7,18.404949,.13637751
3,2,1,8,18.133341,.13045999
3,2,1,9,18.403755,.13395712
3,2,1,10,19.086899,.13563471
