sex,race,age,de,ie,te,mx2010,mx2018,pctgap
2,3,9,-.023811921,-.053490259,-.07730218,.022589564,.021854825,-667.62994
2,3,10,-.10198766,-.12856023,-.23054789,.05783942,.052669235,-1991.1556
2,3,11,-.077134289,0,-.077134289,.15866093,.15364243,-666.17993
2,3,12,-.13945375,.15103234,.011578597,,,100
2,4,1,-.00062468753,-.05523257,-.055857256,.0055599203,.0048593585,6.157321
2,4,2,-.00028638888,-.010833571,-.01111996,.00025025409,.00021424619,1.2257881
2,4,3,-.000027890395,-.0003605205,-.0003884109,.00011398559,.00011343572,.042815756
2,4,4,.0033977123,.038203426,.041601136,.00079318124,.00086216704,-4.585824
2,4,5,.013492074,.12612431,.13961639,.0010081046,.0012853062,-15.390353
2,4,6,.012863688,.096101522,.10896521,.0014602059,.0017291062,-12.011578
2,4,7,-.0021291184,-.012140755,-.014269873,.0035183828,.0034722458,1.5730131
2,4,8,-.0056311493,-.02310073,-.028731879,.0081474725,.008015357,3.1672053
2,4,9,-.037920192,-.10266048,-.14058068,.017782278,.016731516,15.496652
2,4,10,-.1014645,-.17162356,-.27308807,.044749223,.040601071,30.103357
2,4,11,-.67331475,0,-.67331475,.11824068,.10133247,74.221603
2,4,12,-.79164523,-.11552293,-.90716815,,,100
