2013 Urbanization,2013 Urbanization Code,Year,Year Code,Deaths,Population,Crude Rate,Age Adjusted Rate
Micropolitan (Nonmetro),5,2011,2011,3106,27214415,11.4,12
Micropolitan (Nonmetro),5,2012,2012,3019,27216731,11.1,11.8
Micropolitan (Nonmetro),5,2013,2013,3062,27220343,11.2,11.8
Micropolitan (Nonmetro),5,2014,2014,3407,27242864,12.5,13.2
Micropolitan (Nonmetro),5,2015,2015,3745,27260617,13.7,14.7
Micropolitan (Nonmetro),5,2016,2016,4208,27257909,15.4,16.6
Micropolitan (Nonmetro),5,2017,2017,4651,27260845,17.1,18.6
NonCore (Nonmetro),6,1999,1999,423,18817991,2.2,2.3
NonCore (Nonmetro),6,2000,2000,525,18874597,2.8,2.9
NonCore (Nonmetro),6,2001,2001,690,18846024,3.7,3.8
NonCore (Nonmetro),6,2002,2002,855,18863512,4.5,4.8
NonCore (Nonmetro),6,2003,2003,1057,18904163,5.6,6
NonCore (Nonmetro),6,2004,2004,1180,18944737,6.2,6.7
NonCore (Nonmetro),6,2005,2005,1339,18987720,7.1,7.5
NonCore (Nonmetro),6,2006,2006,1537,19053276,8.1,8.6
NonCore (Nonmetro),6,2007,2007,1680,19095055,8.8,9.5
NonCore (Nonmetro),6,2008,2008,1755,19124116,9.2,9.9
NonCore (Nonmetro),6,2009,2009,1870,19122015,9.8,10.4
NonCore (Nonmetro),6,2010,2010,2046,19139193,10.7,11.6
NonCore (Nonmetro),6,2011,2011,2120,19106898,11.1,11.9
NonCore (Nonmetro),6,2012,2012,2009,19032869,10.6,11.3
NonCore (Nonmetro),6,2013,2013,2067,18997254,10.9,11.7
NonCore (Nonmetro),6,2014,2014,2156,18946250,11.4,12.4
NonCore (Nonmetro),6,2015,2015,2342,18905986,12.4,13.6
NonCore (Nonmetro),6,2016,2016,2539,18852675,13.5,14.7
NonCore (Nonmetro),6,2017,2017,2617,18821894,13.9,15.4
