sex,race,age,de,ie,te,mx2010,mx2018,pctgap
2,4,4,-.00019916316,-.0020983159,-.002297479,.00093417562,.00093011768,-.10032026
2,4,5,.019507933,.1689574,.18846533,.0014364163,.0018396957,8.2294073
2,4,6,.020320851,.13880727,.15912811,.0021907191,.0026218744,6.9483871
2,4,7,-.0020308627,-.010426769,-.012457632,.0050811553,.0050357641,-.54396701
2,4,8,.027117401,.097383149,.12450055,.010462178,.011135921,5.4363623
2,4,9,-.023190159,-.052186258,-.075376421,.022568557,.021852821,-3.2913389
2,4,10,-.10024537,-.12676004,-.22700541,.057703387,.052623328,-9.9122744
2,4,11,-.072191074,0,-.072191074,.15816565,.15348876,-3.1522496
2,4,12,-.13185689,.15475836,.022901446,,,1
2,5,1,-.00062976562,-.055703685,-.056333449,.0055676801,.0048613013,.063258424
2,5,2,-.00028640029,-.01083754,-.01112394,.00025025409,.00021424619,.012491387
2,5,3,-.000055899884,-.00074138347,-.00079728337,.00011419589,.00011306319,.00089529209
2,5,4,.0033570842,.037762728,.04111981,.00079361151,.00086176925,-.046174601
2,5,5,.013485771,.12613118,.13961695,.0010094624,.0012865206,-.15677983
2,5,6,.013011952,.097278327,.11029028,.0014620803,.0017340867,-.12384808
2,5,7,-.0019238556,-.010981697,-.012905552,.0035187483,.0034770472,.01449201
2,5,8,-.0056081433,-.023039198,-.028647341,.0081507312,.0080191391,.03216891
2,5,9,-.03768922,-.10227631,-.13996553,.017749611,.016705379,.15717126
2,5,10,-.099738106,-.16933767,-.26907578,.044618685,.040544741,.30215281
2,5,11,-.66270697,0,-.66270697,.11779779,.10124444,.74417239
2,5,12,-.77878356,-.11174525,-.8905288,,,1
