"COD recode (24 causes)"	"Sex (no total)"	"Race recode (White, Black)"	"Age recode with <1 year olds (5cat)"	"Year of death (no total)"	"Age-Adjusted Rate"	"Count"	"Population"
0	0	0	0	0	9.6	145	1514641
0	0	0	0	1	11.8	180	1520117
0	0	0	0	2	12.0	187	1553592
0	0	0	0	3	12.1	171	1413121
0	0	0	0	4	18.3	243	1330370
0	0	0	0	5	18.7	245	1307809
0	0	0	0	6	18.8	253	1346332
0	0	0	0	7	21.8	289	1325561
0	0	0	0	8	23.2	323	1394848
0	0	0	0	9	23.9	338	1412505
0	0	0	0	10	19.2	278	1448419
0	0	0	0	11	22.4	335	1493786
0	0	0	0	12	19.4	294	1516142
0	0	0	0	13	21.8	333	1525865
0	0	0	0	14	24.2	369	1526163
0	0	0	0	15	25.1	375	1491206
0	0	0	0	16	24.2	371	1534172
0	0	0	0	17	26.5	407	1536973
0	0	0	0	18	25.4	388	1529082
0	0	0	0	19	22.0	339	1541190
0	0	0	0	20	19.0	298	1567669
0	0	0	0	21	17.2	280	1624007
0	0	0	0	22	16.3	265	1625478
0	0	0	0	23	16.4	263	1606157
0	0	0	0	24	15.9	251	1574670
0	0	0	0	25	15.6	242	1551711
0	0	0	0	26	15.3	236	1539528
0	0	0	0	27	14.6	222	1524669
0	0	0	0	28	16.9	257	1519823
0	0	0	0	29	14.1	215	1521486
0	0	0	0	30	12.0	183	1527801
0	0	0	0	31	11.8	182	1541238
0	0	0	0	32	10.7	170	1594490
0	0	0	0	33	11.5	181	1572249
0	0	0	0	34	9.5	150	1582125
0	0	0	0	35	9.8	156	1591206
0	0	0	0	36	7.9	125	1574764
0	0	0	0	37	7.2	114	1582557
0	0	0	0	38	8.9	143	1612525
0	0	0	0	39	8.5	135	1595501
0	0	0	0	40	8.4	130	1540088
0	0	0	0	41	8.3	126	1522490
0	0	0	0	42	6.6	101	1534654
0	0	0	0	43	8.3	125	1510617
0	0	0	0	44	7.9	119	1505703
0	0	0	0	45	6.7	101	1516827
0	0	0	0	46	6.4	98	1522072
0	0	0	0	47	6.2	94	1512444
0	0	0	0	48	5.9	88	1489721
0	0	0	1	0	1.0	224	23728170
0	0	0	1	1	1.0	225	23574128
0	0	0	1	2	1.0	223	23392871
0	0	0	1	3	1.0	239	23167157
0	0	0	1	4	1.2	261	22799887
0	0	0	1	5	1.0	226	22361343
0	0	0	1	6	1.1	232	21913505
0	0	0	1	7	1.1	222	21458208
0	0	0	1	8	1.0	211	21009347
0	0	0	1	9	1.1	228	20665104
0	0	0	1	10	1.1	215	20350287
0	0	0	1	11	1.2	249	20121485
0	0	0	1	12	1.3	258	20028472
0	0	0	1	13	1.3	256	19989691
0	0	0	1	14	1.3	255	19994853
0	0	0	1	15	1.3	264	19980565
0	0	0	1	16	1.0	210	19895646
0	0	0	1	17	1.2	250	19838957
0	0	0	1	18	1.2	239	19934523
0	0	0	1	19	1.3	259	20120944
0	0	0	1	20	1.0	210	20349453
0	0	0	1	21	1.1	221	20612902
0	0	0	1	22	1.0	207	20986491
0	0	0	1	23	0.9	196	21317771
0	0	0	1	24	1.0	216	21633347
0	0	0	1	25	1.0	213	21874749
0	0	0	1	26	0.8	188	22017868
0	0	0	1	27	0.9	196	22150364
0	0	0	1	28	0.9	206	22253331
0	0	0	1	29	0.9	206	22355932
0	0	0	1	30	0.8	182	22486645
0	0	0	1	31	0.8	191	22535184
0	0	0	1	32	0.8	172	22485328
0	0	0	1	33	0.7	164	22495077
0	0	0	1	34	0.7	157	22461424
0	0	0	1	35	0.6	143	22415201
0	0	0	1	36	0.6	145	22321770
0	0	0	1	37	0.7	159	22253511
0	0	0	1	38	0.6	137	22221328
0	0	0	1	39	0.6	141	22251257
0	0	0	1	40	0.5	118	22296668
0	0	0	1	41	0.5	107	22283642
0	0	0	1	42	0.5	120	22207104
0	0	0	1	43	0.5	108	22155927
0	0	0	1	44	0.5	108	22084717
0	0	0	1	45	0.5	101	22012952
0	0	0	1	46	0.5	110	21933659
0	0	0	1	47	0.5	101	21886847
0	0	0	1	48	0.5	108	21860045
0	0	0	2	0	8.0	1737	25291136
0	0	0	2	1	7.9	1789	26326736
0	0	0	2	2	7.9	1856	27361341
0	0	0	2	3	7.1	1717	28433226
0	0	0	2	4	7.2	1861	29360222
0	0	0	2	5	7.0	1856	30248159
0	0	0	2	6	6.4	1767	31101972
0	0	0	2	7	6.6	1874	31946673
0	0	0	2	8	6.4	1905	32657834
0	0	0	2	9	6.2	1884	33159764
0	0	0	2	10	6.4	2027	33731518
0	0	0	2	11	6.1	1981	34164079
0	0	0	2	12	6.1	2025	34578968
0	0	0	2	13	6.3	2099	34437172
0	0	0	2	14	6.2	2098	34436271
0	0	0	2	15	6.1	2080	34453909
0	0	0	2	16	6.2	2139	34506384
0	0	0	2	17	6.4	2216	34544066
0	0	0	2	18	6.2	2184	34363469
0	0	0	2	19	6.2	2177	34073536
0	0	0	2	20	5.9	2065	33703966
0	0	0	2	21	5.5	1924	33421011
0	0	0	2	22	5.8	2013	33158851
0	0	0	2	23	5.6	1959	32955984
0	0	0	2	24	5.8	2022	32726539
0	0	0	2	25	5.7	1971	32534235
0	0	0	2	26	5.9	2008	32396208
0	0	0	2	27	5.8	1949	32254941
0	0	0	2	28	5.9	1946	32186601
0	0	0	2	29	5.6	1852	32163671
0	0	0	2	30	5.6	1805	32134229
0	0	0	2	31	5.3	1729	32204972
0	0	0	2	32	5.6	1822	32288497
0	0	0	2	33	5.8	1877	32370952
0	0	0	2	34	5.9	1913	32391965
0	0	0	2	35	5.9	1890	32508241
0	0	0	2	36	6.2	1978	32566411
0	0	0	2	37	6.5	2042	32656817
0	0	0	2	38	5.9	1878	32779366
0	0	0	2	39	5.9	1884	32965297
0	0	0	2	40	5.9	1895	33126950
0	0	0	2	41	6.2	2011	33257744
0	0	0	2	42	6.0	1969	33446766
0	0	0	2	43	5.8	1935	33615418
0	0	0	2	44	5.6	1879	33748998
0	0	0	2	45	5.7	1926	33872312
0	0	0	2	46	5.9	1995	33936061
0	0	0	2	47	5.7	1928	34000041
0	0	0	2	48	5.9	2023	33984692
0	0	0	3	0	396.0	126198	28027361
0	0	0	3	1	385.4	124286	28124642
0	0	0	3	2	379.3	123713	28221459
0	0	0	3	3	370.2	122094	28323666
0	0	0	3	4	366.5	121982	28418381
0	0	0	3	5	348.1	116547	28486408
0	0	0	3	6	333.2	112363	28557458
0	0	0	3	7	323.4	110043	28729712
0	0	0	3	8	310.0	106272	28944324
0	0	0	3	9	301.5	104452	29373347
0	0	0	3	10	291.7	101997	29718173
0	0	0	3	11	283.4	100034	29983012
0	0	0	3	12	276.2	97885	30191996
0	0	0	3	13	266.6	95232	30865437
0	0	0	3	14	259.3	93059	31362331
0	0	0	3	15	250.9	90523	31875419
0	0	0	3	16	243.9	88114	32352403
0	0	0	3	17	233.0	84200	32885813
0	0	0	3	18	223.0	80502	33446770
0	0	0	3	19	212.8	77398	34073789
0	0	0	3	20	200.1	72872	34731073
0	0	0	3	21	192.4	70412	35451310
0	0	0	3	22	186.7	68878	36291875
0	0	0	3	23	182.2	68075	37216167
0	0	0	3	24	179.6	68023	38103478
0	0	0	3	25	175.0	67245	39003054
0	0	0	3	26	171.2	66837	39921038
0	0	0	3	27	166.0	65971	40859406
0	0	0	3	28	158.8	64996	41850330
0	0	0	3	29	151.7	64107	42796685
0	0	0	3	30	144.7	63024	43712855
0	0	0	3	31	140.8	62922	44478901
0	0	0	3	32	135.8	62325	45168468
0	0	0	3	33	135.7	64360	45783871
0	0	0	3	34	131.7	64449	46321531
0	0	0	3	35	125.6	63219	46917401
0	0	0	3	36	123.8	64052	47566183
0	0	0	3	37	120.7	64002	48157096
0	0	0	3	38	116.6	63580	48557957
0	0	0	3	39	115.4	64135	48745516
0	0	0	3	40	111.7	63378	48946733
0	0	0	3	41	109.8	63645	49175113
0	0	0	3	42	108.7	64039	49295232
0	0	0	3	43	107.5	63637	49080757
0	0	0	3	44	108.1	64285	48981311
0	0	0	3	45	107.7	64589	48931554
0	0	0	3	46	107.5	64989	48991717
0	0	0	3	47	107.8	65555	48994751
0	0	0	3	48	106.8	65255	48968062
0	0	0	4	0	4100.4	255632	7511561
0	0	0	4	1	3993.4	253543	7646350
0	0	0	4	2	3987.6	256167	7780919
0	0	0	4	3	3899.6	255829	7914369
0	0	0	4	4	3925.6	260904	8051446
0	0	0	4	5	3753.8	254676	8208800
0	0	0	4	6	3573.2	247957	8365755
0	0	0	4	7	3552.0	250624	8542272
0	0	0	4	8	3457.9	249968	8746247
0	0	0	4	9	3426.3	252698	8941410
0	0	0	4	10	3350.0	252799	9155543
0	0	0	4	11	3404.2	262029	9366962
0	0	0	4	12	3315.7	259877	9533505
0	0	0	4	13	3251.7	260326	9722669
0	0	0	4	14	3253.1	265123	9923904
0	0	0	4	15	3162.2	262168	10101619
0	0	0	4	16	3131.9	264456	10296803
0	0	0	4	17	3019.3	260800	10518414
0	0	0	4	18	2934.4	258708	10750480
0	0	0	4	19	2918.5	261302	10928399
0	0	0	4	20	2731.6	249917	11137779
0	0	0	4	21	2638.5	246493	11350917
0	0	0	4	22	2572.5	246227	11566544
0	0	0	4	23	2499.7	244958	11777005
0	0	0	4	24	2527.5	253266	11997536
0	0	0	4	25	2430.9	248842	12173070
0	0	0	4	26	2382.3	249444	12362101
0	0	0	4	27	2324.6	248511	12517027
0	0	0	4	28	2254.6	245877	12624403
0	0	0	4	29	2189.7	243553	12717923
0	0	0	4	30	2144.3	242366	12797066
0	0	0	4	31	2059.6	236494	12903454
0	0	0	4	32	1983.0	231036	13010642
0	0	0	4	33	1949.1	230298	13123017
0	0	0	4	34	1868.1	224871	13282081
0	0	0	4	35	1743.7	213485	13443735
0	0	0	4	36	1704.8	213005	13639547
0	0	0	4	37	1605.5	205776	13864652
0	0	0	4	38	1531.3	201155	14154596
0	0	0	4	39	1498.2	202008	14572265
0	0	0	4	40	1435.4	198438	14934885
0	0	0	4	41	1399.9	198524	15293170
0	0	0	4	42	1370.1	199351	15651711
0	0	0	4	43	1341.7	202145	16404082
0	0	0	4	44	1345.1	208697	17013332
0	0	0	4	45	1323.0	211187	17610475
0	0	0	4	46	1334.4	218678	18179393
0	0	0	4	47	1309.5	220809	18766873
0	0	0	4	48	1311.8	227528	19362094
0	0	1	0	0	18.4	44	239711
0	0	1	0	1	34.1	82	240793
0	0	1	0	2	36.9	94	254565
0	0	1	0	3	59.6	143	239800
0	0	1	0	4	67.4	156	231559
0	0	1	0	5	46.6	105	225355
0	0	1	0	6	36.5	84	230396
0	0	1	0	7	44.9	103	229574
0	0	1	0	8	42.1	103	244916
0	0	1	0	9	47.1	116	246239
0	0	1	0	10	43.2	111	256841
0	0	1	0	11	42.4	115	271215
0	0	1	0	12	39.3	106	269763
0	0	1	0	13	37.7	103	273227
0	0	1	0	14	55.8	152	272576
0	0	1	0	15	50.5	135	267174
0	0	1	0	16	48.7	134	275410
0	0	1	0	17	51.4	144	280367
0	0	1	0	18	46.0	132	286659
0	0	1	0	19	43.5	129	296726
0	0	1	0	20	34.3	108	314886
0	0	1	0	21	44.0	141	320671
0	0	1	0	22	35.7	115	322244
0	0	1	0	23	34.7	112	322549
0	0	1	0	24	28.4	91	320522
0	0	1	0	25	35.3	110	311916
0	0	1	0	26	31.9	96	300477
0	0	1	0	27	34.6	100	289104
0	0	1	0	28	27.1	80	295451
0	0	1	0	29	27.4	82	299701
0	0	1	0	30	23.4	72	307443
0	0	1	0	31	19.6	62	316393
0	0	1	0	32	19.9	65	326628
0	0	1	0	33	23.9	76	317650
0	0	1	0	34	25.7	81	315118
0	0	1	0	35	17.1	55	320836
0	0	1	0	36	18.8	62	329152
0	0	1	0	37	18.4	62	337086
0	0	1	0	38	22.3	79	353833
0	0	1	0	39	18.4	65	353526
0	0	1	0	40	21.1	73	346752
0	0	1	0	41	17.9	61	340914
0	0	1	0	42	14.9	51	341857
0	0	1	0	43	16.4	56	340947
0	0	1	0	44	15.5	53	341695
0	0	1	0	45	17.4	60	345107
0	0	1	0	46	12.7	44	347452
0	0	1	0	47	12.8	44	344441
0	0	1	0	48	15.6	53	339133
0	0	1	1	0	2.1	77	3768738
0	0	1	1	1	2.1	78	3772591
0	0	1	1	2	2.5	93	3762774
0	0	1	1	3	2.4	88	3756095
0	0	1	1	4	2.9	108	3734064
0	0	1	1	5	2.1	79	3703198
0	0	1	1	6	2.1	76	3679914
0	0	1	1	7	2.1	77	3644563
0	0	1	1	8	1.9	67	3600204
0	0	1	1	9	2.3	82	3572979
0	0	1	1	10	1.9	68	3551258
0	0	1	1	11	2.7	95	3586432
0	0	1	1	12	2.5	89	3589983
0	0	1	1	13	2.3	85	3606647
0	0	1	1	14	2.5	94	3628440
0	0	1	1	15	2.3	87	3649602
0	0	1	1	16	2.4	89	3666087
0	0	1	1	17	2.5	95	3670013
0	0	1	1	18	2.7	100	3697774
0	0	1	1	19	2.6	99	3743665
0	0	1	1	20	2.3	91	3806359
0	0	1	1	21	2.0	81	3899018
0	0	1	1	22	2.6	108	4031689
0	0	1	1	23	2.3	101	4153214
0	0	1	1	24	1.8	79	4275395
0	0	1	1	25	2.1	94	4378752
0	0	1	1	26	2.2	100	4454940
0	0	1	1	27	1.8	80	4525870
0	0	1	1	28	1.9	89	4575116
0	0	1	1	29	1.9	86	4630088
0	0	1	1	30	1.5	72	4688205
0	0	1	1	31	1.4	66	4726113
0	0	1	1	32	1.6	76	4738751
0	0	1	1	33	1.1	51	4760430
0	0	1	1	34	1.6	74	4763970
0	0	1	1	35	1.4	69	4750871
0	0	1	1	36	1.2	55	4725180
0	0	1	1	37	1.3	62	4713244
0	0	1	1	38	1.3	63	4715668
0	0	1	1	39	1.5	73	4735958
0	0	1	1	40	1.2	57	4769079
0	0	1	1	41	1.4	68	4796640
0	0	1	1	42	1.1	54	4805857
0	0	1	1	43	1.1	52	4814849
0	0	1	1	44	1.4	67	4821156
0	0	1	1	45	1.4	66	4829061
0	0	1	1	46	1.3	61	4831677
0	0	1	1	47	0.9	46	4846219
0	0	1	1	48	0.9	46	4867665
0	0	1	2	0	27.0	678	3155053
0	0	1	2	1	25.6	679	3308641
0	0	1	2	2	23.4	648	3460915
0	0	1	2	3	23.3	677	3622825
0	0	1	2	4	21.8	658	3761939
0	0	1	2	5	21.1	656	3911743
0	0	1	2	6	20.5	670	4070351
0	0	1	2	7	19.3	664	4224896
0	0	1	2	8	18.4	659	4358462
0	0	1	2	9	18.3	676	4485899
0	0	1	2	10	17.4	676	4617898
0	0	1	2	11	19.9	829	4815298
0	0	1	2	12	18.5	806	4934056
0	0	1	2	13	17.0	757	5001838
0	0	1	2	14	17.7	807	5061968
0	0	1	2	15	17.8	834	5113957
0	0	1	2	16	18.9	903	5159519
0	0	1	2	17	18.8	915	5221239
0	0	1	2	18	17.6	874	5257927
0	0	1	2	19	18.3	930	5273487
0	0	1	2	20	16.4	835	5266578
0	0	1	2	21	15.6	805	5271228
0	0	1	2	22	15.9	836	5276094
0	0	1	2	23	16.0	845	5311978
0	0	1	2	24	16.4	868	5327595
0	0	1	2	25	15.6	826	5349566
0	0	1	2	26	16.5	880	5380589
0	0	1	2	27	15.1	803	5409465
0	0	1	2	28	14.5	770	5444290
0	0	1	2	29	15.1	807	5474999
0	0	1	2	30	14.3	761	5496885
0	0	1	2	31	13.9	740	5535501
0	0	1	2	32	14.9	795	5593243
0	0	1	2	33	15.2	811	5663095
0	0	1	2	34	15.1	812	5720600
0	0	1	2	35	14.8	804	5828071
0	0	1	2	36	15.8	862	5926447
0	0	1	2	37	15.6	846	6028472
0	0	1	2	38	15.6	867	6124670
0	0	1	2	39	15.9	901	6229713
0	0	1	2	40	14.1	809	6330394
0	0	1	2	41	13.3	787	6426157
0	0	1	2	42	12.9	777	6539428
0	0	1	2	43	12.4	760	6650919
0	0	1	2	44	13.1	825	6756476
0	0	1	2	45	12.6	801	6852957
0	0	1	2	46	12.4	810	6939668
0	0	1	2	47	12.7	844	7029343
0	0	1	2	48	13.2	890	7098144
0	0	1	3	0	529.7	15709	2789904
0	0	1	3	1	513.1	15461	2815368
0	0	1	3	2	488.1	14973	2839977
0	0	1	3	3	496.5	15436	2866373
0	0	1	3	4	488.2	15377	2885412
0	0	1	3	5	459.5	14613	2900539
0	0	1	3	6	438.2	13979	2911753
0	0	1	3	7	440.1	14217	2941297
0	0	1	3	8	437.3	14232	2969884
0	0	1	3	9	433.6	14245	3005920
0	0	1	3	10	430.6	14286	3045170
0	0	1	3	11	430.6	14555	3129368
0	0	1	3	12	423.4	14453	3169697
0	0	1	3	13	405.4	14021	3244660
0	0	1	3	14	406.7	14258	3322705
0	0	1	3	15	398.7	14146	3410667
0	0	1	3	16	397.8	14263	3500851
0	0	1	3	17	391.4	14181	3602060
0	0	1	3	18	378.0	13857	3701169
0	0	1	3	19	378.8	14074	3806224
0	0	1	3	20	371.6	13932	3920807
0	0	1	3	21	343.0	13064	4051741
0	0	1	3	22	339.3	13244	4204619
0	0	1	3	23	327.6	13142	4376012
0	0	1	3	24	335.4	13811	4541235
0	0	1	3	25	314.8	13372	4710568
0	0	1	3	26	316.9	13874	4883829
0	0	1	3	27	302.2	13592	5054195
0	0	1	3	28	296.8	13876	5239600
0	0	1	3	29	285.2	13890	5424116
0	0	1	3	30	275.7	13971	5612001
0	0	1	3	31	260.5	13728	5790922
0	0	1	3	32	254.2	13918	5949423
0	0	1	3	33	254.0	14470	6091555
0	0	1	3	34	248.4	14744	6226987
0	0	1	3	35	237.4	14672	6372044
0	0	1	3	36	234.1	15063	6528932
0	0	1	3	37	223.9	14971	6690362
0	0	1	3	38	216.1	15017	6835954
0	0	1	3	39	202.3	14574	6965218
0	0	1	3	40	203.1	15165	7083541
0	0	1	3	41	191.6	14866	7202298
0	0	1	3	42	188.1	15012	7286479
0	0	1	3	43	191.0	15546	7356351
0	0	1	3	44	188.4	15612	7423128
0	0	1	3	45	186.1	15728	7495491
0	0	1	3	46	188.2	16190	7582116
0	0	1	3	47	192.1	16727	7653633
0	0	1	3	48	191.6	17005	7726181
0	0	1	4	0	3417.0	19074	649543
0	0	1	4	1	3333.1	19164	670190
0	0	1	4	2	3298.3	19337	690759
0	0	1	4	3	3351.7	20167	709929
0	0	1	4	4	3328.7	20450	729443
0	0	1	4	5	3146.2	19984	749997
0	0	1	4	6	3033.1	19615	767367
0	0	1	4	7	3012.0	19916	783969
0	0	1	4	8	2976.5	20128	802152
0	0	1	4	9	2962.3	20529	819908
0	0	1	4	10	2954.0	20954	839080
0	0	1	4	11	3105.2	22248	852302
0	0	1	4	12	2978.3	21706	862379
0	0	1	4	13	2937.9	21927	874120
0	0	1	4	14	3026.6	22981	885224
0	0	1	4	15	2967.0	22810	894174
0	0	1	4	16	3025.3	23574	904102
0	0	1	4	17	3014.9	23718	914869
0	0	1	4	18	2985.6	23949	927055
0	0	1	4	19	3005.4	24331	938141
0	0	1	4	20	2834.6	23333	950412
0	0	1	4	21	2777.9	22922	960228
0	0	1	4	22	2748.1	23130	975093
0	0	1	4	23	2670.1	22820	990558
0	0	1	4	24	2699.8	23489	1006696
0	0	1	4	25	2587.9	22823	1021062
0	0	1	4	26	2608.8	23428	1036705
0	0	1	4	27	2503.9	22746	1051984
0	0	1	4	28	2427.2	22384	1064897
0	0	1	4	29	2429.6	22781	1078856
0	0	1	4	30	2382.5	22688	1090557
0	0	1	4	31	2291.2	22136	1106806
0	0	1	4	32	2275.4	22147	1126206
0	0	1	4	33	2211.7	21677	1144968
0	0	1	4	34	2177.7	21750	1167645
0	0	1	4	35	2042.1	20612	1189647
0	0	1	4	36	1955.6	20296	1219988
0	0	1	4	37	1902.9	20283	1247475
0	0	1	4	38	1796.1	19638	1278555
0	0	1	4	39	1746.5	19770	1318528
0	0	1	4	40	1649.5	19311	1358168
0	0	1	4	41	1596.9	19301	1404186
0	0	1	4	42	1506.0	19014	1453223
0	0	1	4	43	1493.4	19718	1529755
0	0	1	4	44	1486.7	20534	1606815
0	0	1	4	45	1475.1	21298	1689221
0	0	1	4	46	1462.0	22214	1778238
0	0	1	4	47	1442.5	23041	1866398
0	0	1	4	48	1441.0	24090	1949646
0	1	0	0	0	9.3	134	1447512
0	1	0	0	1	6.9	100	1450772
0	1	0	0	2	9.8	145	1475462
0	1	0	0	3	12.2	164	1346384
0	1	0	0	4	14.8	187	1267677
0	1	0	0	5	14.3	178	1240561
0	1	0	0	6	15.6	200	1277991
0	1	0	0	7	15.1	190	1260113
0	1	0	0	8	15.7	207	1321057
0	1	0	0	9	18.5	248	1340661
0	1	0	0	10	13.2	181	1374248
0	1	0	0	11	15.6	221	1417899
0	1	0	0	12	17.5	252	1437659
0	1	0	0	13	14.5	210	1448184
0	1	0	0	14	19.4	281	1447087
0	1	0	0	15	20.7	293	1415159
0	1	0	0	16	18.6	271	1455371
0	1	0	0	17	19.5	284	1459090
0	1	0	0	18	19.8	288	1451789
0	1	0	0	19	17.4	255	1463898
0	1	0	0	20	14.7	219	1490283
0	1	0	0	21	14.3	221	1542122
0	1	0	0	22	12.8	198	1544642
0	1	0	0	23	14.0	214	1530646
0	1	0	0	24	12.1	181	1491473
0	1	0	0	25	13.5	199	1471729
0	1	0	0	26	14.7	214	1459432
0	1	0	0	27	13.6	197	1446136
0	1	0	0	28	12.8	185	1443871
0	1	0	0	29	13.2	190	1442376
0	1	0	0	30	11.6	169	1451166
0	1	0	0	31	11.0	161	1464611
0	1	0	0	32	9.3	142	1523342
0	1	0	0	33	10.1	151	1501448
0	1	0	0	34	8.2	123	1508897
0	1	0	0	35	8.6	131	1518291
0	1	0	0	36	6.9	103	1500994
0	1	0	0	37	6.4	96	1509872
0	1	0	0	38	7.2	111	1538040
0	1	0	0	39	7.9	120	1525335
0	1	0	0	40	7.9	116	1471609
0	1	0	0	41	6.0	88	1455553
0	1	0	0	42	6.0	87	1461423
0	1	0	0	43	6.0	87	1442078
0	1	0	0	44	5.3	76	1437978
0	1	0	0	45	5.3	77	1442716
0	1	0	0	46	5.8	84	1451960
0	1	0	0	47	6.8	98	1442459
0	1	0	0	48	5.4	76	1419675
0	1	0	1	0	0.9	207	22716673
0	1	0	1	1	0.8	178	22555640
0	1	0	1	2	1.0	225	22373706
0	1	0	1	3	0.9	197	22143911
0	1	0	1	4	1.0	221	21781913
0	1	0	1	5	1.0	214	21348603
0	1	0	1	6	0.9	180	20907513
0	1	0	1	7	0.9	190	20462316
0	1	0	1	8	0.9	182	20022441
0	1	0	1	9	1.1	218	19679251
0	1	0	1	10	1.0	186	19371753
0	1	0	1	11	1.1	216	19130593
0	1	0	1	12	1.2	221	19034752
0	1	0	1	13	1.2	227	18985581
0	1	0	1	14	1.2	222	18983858
0	1	0	1	15	1.2	234	18960234
0	1	0	1	16	1.1	206	18872903
0	1	0	1	17	1.1	215	18816902
0	1	0	1	18	1.0	197	18903877
0	1	0	1	19	1.1	223	19075507
0	1	0	1	20	0.8	166	19291129
0	1	0	1	21	0.9	186	19539041
0	1	0	1	22	0.9	193	19894220
0	1	0	1	23	0.8	171	20211574
0	1	0	1	24	0.9	189	20519608
0	1	0	1	25	0.9	197	20749741
0	1	0	1	26	0.8	161	20887092
0	1	0	1	27	0.8	165	21013803
0	1	0	1	28	0.7	155	21113087
0	1	0	1	29	0.7	154	21212899
0	1	0	1	30	0.6	135	21336360
0	1	0	1	31	0.5	112	21384712
0	1	0	1	32	0.7	156	21341175
0	1	0	1	33	0.6	127	21359886
0	1	0	1	34	0.6	134	21337823
0	1	0	1	35	0.6	132	21300291
0	1	0	1	36	0.5	107	21222789
0	1	0	1	37	0.6	121	21162682
0	1	0	1	38	0.7	141	21136887
0	1	0	1	39	0.6	119	21174938
0	1	0	1	40	0.5	110	21228987
0	1	0	1	41	0.5	104	21231709
0	1	0	1	42	0.6	129	21180343
0	1	0	1	43	0.5	109	21137529
0	1	0	1	44	0.5	100	21080653
0	1	0	1	45	0.5	99	21019375
0	1	0	1	46	0.5	105	20944413
0	1	0	1	47	0.4	91	20898211
0	1	0	1	48	0.4	94	20869562
0	1	0	2	0	3.7	848	25897534
0	1	0	2	1	3.7	870	26701272
0	1	0	2	2	3.4	828	27504351
0	1	0	2	3	3.3	850	28346322
0	1	0	2	4	3.4	902	29171012
0	1	0	2	5	3.1	855	29973519
0	1	0	2	6	3.0	843	30772078
0	1	0	2	7	2.7	778	31554365
0	1	0	2	8	2.8	838	32220868
0	1	0	2	9	2.7	849	32695588
0	1	0	2	10	2.8	898	33213071
0	1	0	2	11	2.8	906	33626780
0	1	0	2	12	2.9	965	33980132
0	1	0	2	13	2.7	916	33794197
0	1	0	2	14	2.7	917	33714981
0	1	0	2	15	2.8	940	33661283
0	1	0	2	16	2.8	945	33652871
0	1	0	2	17	2.9	984	33605042
0	1	0	2	18	2.9	1001	33378974
0	1	0	2	19	2.8	960	33049238
0	1	0	2	20	2.7	912	32635017
0	1	0	2	21	2.6	868	32296973
0	1	0	2	22	2.8	960	31997259
0	1	0	2	23	2.8	943	31703164
0	1	0	2	24	3.0	987	31440555
0	1	0	2	25	3.0	993	31213239
0	1	0	2	26	2.9	959	31021718
0	1	0	2	27	2.8	900	30839034
0	1	0	2	28	3.2	1008	30725430
0	1	0	2	29	3.1	979	30651492
0	1	0	2	30	3.0	943	30551394
0	1	0	2	31	2.8	864	30549834
0	1	0	2	32	2.9	903	30614509
0	1	0	2	33	2.7	830	30706266
0	1	0	2	34	3.1	943	30807987
0	1	0	2	35	2.7	828	30899753
0	1	0	2	36	2.8	842	30975225
0	1	0	2	37	2.7	831	31057534
0	1	0	2	38	2.9	901	31211168
0	1	0	2	39	2.7	816	31407516
0	1	0	2	40	2.7	820	31598880
0	1	0	2	41	2.6	801	31747146
0	1	0	2	42	2.7	866	31932383
0	1	0	2	43	2.7	847	32059171
0	1	0	2	44	2.7	867	32168570
0	1	0	2	45	2.7	872	32268980
0	1	0	2	46	3.1	996	32307929
0	1	0	2	47	2.8	902	32348520
0	1	0	2	48	3.0	978	32328995
0	1	0	3	0	112.5	40017	29952270
0	1	0	3	1	112.0	40428	30057163
0	1	0	3	2	110.9	40568	30161999
0	1	0	3	3	107.0	39751	30261813
0	1	0	3	4	104.8	39203	30357893
0	1	0	3	5	98.8	37326	30426249
0	1	0	3	6	94.9	36124	30496815
0	1	0	3	7	92.5	35641	30662464
0	1	0	3	8	89.3	34704	30863824
0	1	0	3	9	87.0	34226	31280350
0	1	0	3	10	86.7	34456	31614616
0	1	0	3	11	86.6	34786	31874296
0	1	0	3	12	85.5	34477	32037866
0	1	0	3	13	82.4	33499	32658202
0	1	0	3	14	82.1	33435	33101619
0	1	0	3	15	79.2	32419	33558016
0	1	0	3	16	77.7	31737	33974126
0	1	0	3	17	75.8	30886	34435697
0	1	0	3	18	74.3	30102	34910297
0	1	0	3	19	71.8	29133	35456823
0	1	0	3	20	66.3	26781	36020485
0	1	0	3	21	64.5	25958	36647003
0	1	0	3	22	63.3	25515	37399837
0	1	0	3	23	61.3	24811	38238106
0	1	0	3	24	62.0	25302	39068407
0	1	0	3	25	60.5	24876	39923754
0	1	0	3	26	59.9	24897	40800096
0	1	0	3	27	59.0	24844	41697347
0	1	0	3	28	57.1	24623	42648656
0	1	0	3	29	54.9	24423	43564261
0	1	0	3	30	53.9	24661	44455629
0	1	0	3	31	51.7	24182	45202055
0	1	0	3	32	50.9	24376	45868600
0	1	0	3	33	50.5	24975	46488470
0	1	0	3	34	49.1	25036	47042257
0	1	0	3	35	46.9	24550	47618988
0	1	0	3	36	46.1	24830	48250946
0	1	0	3	37	45.5	25054	48836707
0	1	0	3	38	43.4	24546	49235852
0	1	0	3	39	43.4	25008	49424351
0	1	0	3	40	41.8	24582	49635087
0	1	0	3	41	41.5	24863	49870628
